company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Apple
Amazon,Software Engineer,180000,"Seattle, WA",5.0,5.0,132000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,430000,"San Francisco, CA",20.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,350000,"Seattle, WA",6.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,200000,"Seattle, WA",15.0,3.0,125000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,246000,"Cambridge, EN, United Kingdom",13.0,8.0,109000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,350000,"Seattle, WA",12.0,1.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,218000,"Seattle, WA",7.0,4.0,145000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,165000,"New York, NY",0.0,0.0,123000.0,39000.0,0,0,0,0,0,False
Amazon,Software Engineer,308000,"Seattle, WA",3.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,270000,"Irvine, CA",20.0,2.0,160000.0,100000.0,0,0,0,0,0,False
Amazon,Product Manager,315000,"Sunnyvale, CA",16.0,5.0,185000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,172000,"Seattle, WA",12.0,2.0,142000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,194000,"Seattle, WA",6.0,1.0,148000.0,70000.0,0,0,0,0,0,False
Amazon,Software Engineer,207000,"Seattle, WA",5.0,2.0,134000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,164000,"Seattle, WA",6.0,1.5,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,229000,"Seattle, WA",12.0,1.0,156000.0,61000.0,0,0,0,0,0,False
Amazon,Software Engineer,707000,"Seattle, WA",37.0,2.0,160000.0,200000.0,0,0,0,0,0,False
Amazon,Software Engineer,345000,"Seattle, WA",8.0,7.0,155000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,240000,"Seattle, WA",3.0,6.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,300000,"Seattle, WA",3.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,330000,"Seattle, WA",14.0,2.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,975000,"Seattle, WA",24.0,7.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,280000,"San Francisco, CA",4.0,4.0,16100.000000000002,6800.0,0,0,0,0,0,False
Amazon,Software Engineer,216000,"Seattle, WA",3.0,0.0,145000.0,60000.0,0,0,0,0,0,False
Amazon,Software Engineer,230000,"Seattle, WA",5.0,5.0,130000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,277000,"Seattle, WA",13.0,5.5,156000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,160000,"Seattle, WA",6.0,2.0,0.0,0.0,0,0,0,0,0,False
