company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College
Facebook,Software Engineer,172000,"Menlo Park, CA",0.0,0.0,127000.0,13000.0,0,0,0,0,0
Facebook,Software Engineer,238000,"Seattle, WA",1.0,1.0,148000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,210000,"Seattle, WA",2.0,2.0,142000.0,10000.0,0,0,0,0,0
Facebook,Data Scientist,240000,"Seattle, WA",10.0,1.0,171000.0,24000.0,0,0,0,0,0
Facebook,Software Engineer,161000,"Menlo Park, CA",0.0,0.0,110000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,220000,"Menlo Park, CA",5.0,1.5,150000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,362000,"Seattle, WA",10.0,1.0,194000.0,28000.0,0,0,0,0,0
Facebook,Software Engineer,225000,"Menlo Park, CA",3.0,2.0,150000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,577000,"Menlo Park, CA",6.0,3.0,187000.0,27000.0,0,0,0,0,0
Facebook,Product Manager,160000,"Seattle, WA",1.0,1.0,120000.0,10000.0,0,0,0,0,0
Facebook,Product Designer,250000,"Menlo Park, CA",2.0,2.0,140000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,251000,"Menlo Park, CA",3.0,1.0,160000.0,16000.0,0,0,0,0,0
Facebook,Product Manager,310000,"Seattle, WA",4.0,1.0,175000.0,25000.0,0,0,0,0,0
Facebook,Software Engineer,410000,"Menlo Park, CA",9.0,2.0,180000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,255000,"Menlo Park, CA",5.0,0.0,160000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,380000,"Menlo Park, CA",10.0,0.0,200000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,276000,"Seattle, WA",4.0,0.0,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,350000,"Menlo Park, CA",6.0,1.0,180000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,200000,"Menlo Park, CA",15.0,2.0,150000.0,0.0,0,0,0,0,0
Facebook,Software Engineer,265000,"New York, NY",3.0,0.0,150000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,265000,"New York, NY",3.0,0.0,150000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,160000,"San Francisco, CA",1.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,157000,"Seattle, WA",4.0,0.0,157000.0,0.0,0,0,0,0,0
Facebook,Software Engineer,250000,"Menlo Park, CA",1.0,1.0,115000.0,0.0,0,0,0,0,0
Facebook,Software Engineer,159000,"Menlo Park, CA",0.0,0.0,115000.0,6000.0,0,0,0,0,0
Facebook,Software Engineering Manager,550000,"Seattle, WA",11.0,0.0,222000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,176000,"San Francisco, CA",1.0,1.0,110000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,158000,"Menlo Park, CA",2.0,0.0,110000.0,10000.0,0,0,0,0,0
Facebook,Software Engineer,277000,"Menlo Park, CA",1.0,0.0,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,400000,"Menlo Park, CA",10.0,6.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,506000,"New York, NY",3.0,3.0,186000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,173000,"Menlo Park, CA",0.0,0.0,115000.0,20000.0,0,0,0,0,0
Facebook,Software Engineer,248000,"Seattle, WA",3.0,0.0,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,220000,"Seattle, WA",3.0,1.5,145000.0,13000.0,0,0,0,0,0
Facebook,Software Engineer,292000,"Seattle, WA",4.0,0.0,155000.0,65000.0,0,0,0,0,0
Facebook,Software Engineer,458000,"New York, NY",15.0,0.0,215000.0,43000.0,0,0,0,0,0
Facebook,Software Engineer,170000,"Seattle, WA",0.0,0.0,110000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,195000,"San Francisco, CA",8.0,2.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,330000,"Menlo Park, CA",12.0,4.0,190000.0,20000.0,0,0,0,0,0
Facebook,Software Engineer,365000,"Seattle, WA",9.0,1.0,185000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,450000,"Seattle, WA",10.0,1.5,210000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,160000,"Seattle, WA",0.0,0.0,110000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,230000,"Menlo Park, CA",1.0,1.0,145000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,223000,"Menlo Park, CA",2.0,2.0,145000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,520000,"San Francisco, CA",13.0,0.0,225000.0,45000.0,0,0,0,0,0
Facebook,Software Engineer,514000,"Menlo Park, CA",20.0,2.0,220000.0,44000.0,0,0,0,0,0
Facebook,Product Manager,345000,"Menlo Park, CA",6.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,178000,"Menlo Park, CA",0.0,0.0,115000.0,23000.0,0,0,0,0,0
Facebook,Software Engineer,245000,"London, EN, United Kingdom",3.0,1.0,130000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,600000,"San Francisco, CA",10.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,158000,"Seattle, WA",0.0,0.0,110000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,600000,"Seattle, WA",12.0,4.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,201000,"Washington, DC",0.0,0.0,110000.0,36000.0,0,0,0,0,0
Facebook,Software Engineer,702000,"Seattle, WA",12.0,3.0,216000.0,86000.0,0,0,0,0,0
Facebook,Data Scientist,193000,"San Francisco, CA",1.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,157000,"Menlo Park, CA",0.0,0.0,110000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,166000,"Menlo Park, CA",0.0,0.0,115000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,218000,"Menlo Park, CA",5.0,1.0,148000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,173000,"Boston, MA",0.0,0.0,115000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,664000,"Menlo Park, CA",24.0,1.0,220000.0,44000.0,0,0,0,0,0
Facebook,Software Engineer,360000,"Seattle, WA",2.0,2.0,180000.0,20000.0,0,0,0,0,0
Facebook,Software Engineer,214000,"Boston, MA",3.0,0.0,145000.0,14000.0,0,0,0,0,0
Facebook,Software Engineer,251000,"Menlo Park, CA",5.0,0.0,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,220000,"Seattle, WA",0.0,0.0,115000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,360000,"Seattle, WA",10.0,2.0,180000.0,30000.0,0,0,0,0,0
Facebook,Software Engineering Manager,950000,"New York, NY",12.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,295000,"Menlo Park, CA",7.0,1.0,170000.0,25000.0,0,0,0,0,0
Facebook,Data Scientist,385000,"Menlo Park, CA",6.0,3.0,205000.0,50000.0,0,0,0,0,0
Facebook,Software Engineering Manager,447000,"New York, NY",10.0,3.0,206000.0,41000.0,0,0,0,0,0
Facebook,Data Scientist,280000,"San Francisco, CA",3.0,0.0,185000.0,28000.0,0,0,0,0,0
Facebook,Software Engineer,369000,"Seattle, WA",6.0,0.0,190000.0,29000.0,0,0,0,0,0
Facebook,Software Engineer,163000,"Seattle, WA",0.0,0.0,115000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,800000,"Seattle, WA",15.0,5.0,220000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,110000,"Seattle, WA",0.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,110000,"Seattle, WA",0.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,240000,"Seattle, WA",8.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,220000,"London, EN, United Kingdom",7.0,0.0,103000.0,65000.0,0,0,0,0,0
Facebook,Software Engineer,176000,"Menlo Park, CA",0.0,0.0,110000.0,11000.0,0,0,0,0,0
Facebook,Software Engineer,108000,"London, EN, United Kingdom",6.0,1.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,167000,"Seattle, WA",0.0,0.0,110000.0,17000.0,0,0,0,0,0
Facebook,Software Engineer,178000,"Menlo Park, CA",0.0,0.0,115000.0,23000.0,0,0,0,0,0
Facebook,Software Engineer,280000,"Tel Aviv, TA, Israel",3.0,3.0,138000.0,28000.0,0,0,0,0,0
Facebook,Product Manager,300000,"New York, NY",7.0,0.0,190000.0,30000.0,0,0,0,0,0
Facebook,Product Designer,240000,"Menlo Park, CA",5.0,3.0,166000.0,30000.0,0,0,0,0,0
Facebook,Data Scientist,230000,"Menlo Park, CA",0.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,563000,"Menlo Park, CA",8.0,6.0,223000.0,44000.0,0,0,0,0,0
Facebook,Software Engineer,307000,"Menlo Park, CA",8.0,0.0,180000.0,27000.0,0,0,0,0,0
Facebook,Software Engineer,180000,"New York, NY",0.0,0.0,110000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,350000,"San Francisco, CA",15.0,2.0,180000.0,20000.0,0,0,0,0,0
Facebook,Software Engineer,178000,"Boston, MA",0.0,0.0,115000.0,23000.0,0,0,0,0,0
Facebook,Software Engineer,178000,"Boston, MA",0.0,0.0,115000.0,23000.0,0,0,0,0,0
Facebook,Software Engineer,280000,"Menlo Park, CA",3.0,2.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,252000,"Menlo Park, CA",1.0,1.0,147000.0,20000.0,0,0,0,0,0
Facebook,Software Engineer,210000,"Menlo Park, CA",7.0,0.0,145000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,251000,"Seattle, WA",7.0,1.0,160000.0,16000.0,0,0,0,0,0
Facebook,Software Engineer,333000,"Seattle, WA",6.0,3.0,176000.0,23000.0,0,0,0,0,0
Facebook,Software Engineer,167000,"Seattle, WA",0.0,0.0,110000.0,16000.0,0,0,0,0,0
Facebook,Software Engineering Manager,515000,"Seattle, WA",15.0,0.0,215000.0,50000.0,0,0,0,0,0
Facebook,Software Engineer,800000,"Menlo Park, CA",10.0,2.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,427000,"Redmond, WA",10.0,0.0,200000.0,40000.0,0,0,0,0,0
Facebook,Software Engineer,351000,"Menlo Park, CA",1.0,0.0,160000.0,116000.0,0,0,0,0,0
Facebook,Software Engineer,420000,"Seattle, WA",5.0,0.0,190000.0,30000.0,0,0,0,0,0
Facebook,Software Engineer,191000,"Menlo Park, CA",3.0,0.0,115000.0,36000.0,0,0,0,0,0
Facebook,Product Manager,530000,"Menlo Park, CA",23.0,3.0,232000.0,46000.0,0,0,0,0,0
Facebook,Software Engineer,240000,"Seattle, WA",0.0,0.0,150000.0,15000.0,0,0,0,0,0
Facebook,Data Scientist,237000,"Menlo Park, CA",5.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,341000,"Menlo Park, CA",3.0,3.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,251000,"Menlo Park, CA",3.0,0.0,160000.0,16000.0,0,0,0,0,0
Facebook,Product Manager,152000,"Menlo Park, CA",1.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,120000,"Singapore, SG, Singapore",8.0,0.0,100000.0,10000.0,0,0,0,0,0
Facebook,Software Engineer,210000,"Menlo Park, CA",1.0,1.0,150000.0,15000.0,0,0,0,0,0
Facebook,Software Engineer,220000,"Menlo Park, CA",0.0,0.0,0.0,0.0,0,0,0,0,0
Facebook,Software Engineer,182000,"Menlo Park, CA",1.0,0.0,110000.0,35000.0,0,0,0,0,0
Facebook,Software Engineer,563000,"Menlo Park, CA",15.0,2.0,198000.0,40000.0,0,0,0,0,0
Facebook,Product Designer,225000,"Menlo Park, CA",8.0,0.0,150000.0,25000.0,0,0,0,0,0
