company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Amazon
Apple,Software Engineer,212000,"Cupertino, CA",6.0,3.0,137000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,150000,"Cupertino, CA",1.0,1.0,125000.0,5000.0,0,0,0,0,0,False
Apple,Software Engineer,205000,"Cupertino, CA",0.0,1.0,115000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,235000,"Sunnyvale, CA",6.0,0.0,195000.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"San Francisco, CA",5.0,3.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,220000,"Sunnyvale, CA",14.0,1.0,180000.0,0.0,0,0,0,0,0,False
Apple,Data Scientist,215000,"Cupertino, CA",0.0,0.0,125000.0,52000.0,0,0,0,0,0,False
Apple,Software Engineer,170000,"San Francisco, CA",2.0,2.0,130000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,130000,"Sunnyvale, CA",2.0,2.0,121000.0,8000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,500000,"San Francisco, CA",16.0,7.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineering Manager,500000,"San Francisco, CA",17.0,7.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,216000,"Cupertino, CA",2.0,2.0,145000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,191000,"Sunnyvale, CA",5.0,2.0,128000.0,13000.0,0,0,0,0,0,False
Apple,Software Engineer,156000,"Cupertino, CA",5.0,9.0,120000.0,16000.0,0,0,0,0,0,False
Apple,Software Engineer,220000,"Cupertino, CA",2.0,2.0,115000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,205000,"Cupertino, CA",1.0,1.0,130000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,352000,"Sunnyvale, CA",14.0,5.0,182000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,152000,"Sunnyvale, CA",0.0,0.0,110000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,283000,"Cupertino, CA",10.0,0.0,170000.0,63000.0,0,0,0,0,0,False
